CODE,PRODUCT_NAME,PRODUCT_GROUP,TYPE_LABEL,MAIN_CODE,PERIOD_LABEL,PERIOD_VALUE,PERIOD_KIND,PAY_TERM,ENTRY_AGE_M,ENTRY_AGE_F,CLASS_TAG,SRC_FILE
21797,무배당 처음만난흥국생명상해보험,주계약,1형(자녀형)-남,21797,1년만기,1,N,일시납,0세~20세,0세~20세,MAIN,UW17147
21800,무배당 처음만난흥국생명상해보험,주계약,1형(자녀형)-여,21800,1년만기,1,N,일시납,0세~20세,0세~20세,MAIN,UW17147
21798,무배당 처음만난흥국생명상해보험,주계약,2형(레저형)-남,21798,1년만기,1,N,일시납,만15세~65세,만15세~65세,MAIN,UW17147
21801,무배당 처음만난흥국생명상해보험,주계약,2형(레저형)-여,21801,1년만기,1,N,일시납,만15세~65세,만15세~65세,MAIN,UW17147
21799,무배당 처음만난흥국생명상해보험,주계약,3형(성인형)-남,21799,1년만기,1,N,일시납,만15세~65세,만15세~65세,MAIN,UW17147
21802,무배당 처음만난흥국생명상해보험,주계약,3형(성인형)-여,21802,1년만기,1,N,일시납,만15세~65세,만15세~65세,MAIN,UW17147
21803,무배당 다시만난흥국생명상해보험,주계약,1형(자녀형)-남,21803,1년만기,1,N,일시납,0세~20세,0세~20세,MAIN,UW17147
21806,무배당 다시만난흥국생명상해보험,주계약,1형(자녀형)-여,21806,1년만기,1,N,일시납,0세~20세,0세~20세,MAIN,UW17147
21804,무배당 다시만난흥국생명상해보험,주계약,2형(레저형)-남,21804,1년만기,1,N,일시납,만15세~65세,만15세~65세,MAIN,UW17147
21807,무배당 다시만난흥국생명상해보험,주계약,2형(레저형)-여,21807,1년만기,1,N,일시납,만15세~65세,만15세~65세,MAIN,UW17147
21805,무배당 다시만난흥국생명상해보험,주계약,3형(성인형)-남,21805,1년만기,1,N,일시납,만15세~65세,만15세~65세,MAIN,UW17147
21808,무배당 다시만난흥국생명상해보험,주계약,3형(성인형)-여,21808,1년만기,1,N,일시납,만15세~65세,만15세~65세,MAIN,UW17147
