CODE,PRODUCT_NAME,PRODUCT_GROUP,TYPE_LABEL,MAIN_CODE,PERIOD_LABEL,PERIOD_VALUE,PERIOD_KIND,PAY_TERM,ENTRY_AGE_M,ENTRY_AGE_F,CLASS_TAG,SRC_FILE
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21851,70세만기,70,S,월납(10년납),만15세~69세,만15세~69세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21855,70세만기,70,S,월납(10년납),만15세~69세,만15세~69세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21857,70세만기,70,S,월납(10년납),만15세~69세,만15세~69세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21851,70세만기,70,S,월납(15년납),만15세~65세,만15세~65세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21855,70세만기,70,S,월납(15년납),만15세~65세,만15세~65세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21857,70세만기,70,S,월납(15년납),만15세~65세,만15세~65세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21851,70세만기,70,S,월납(20년납),만15세~49세,만15세~49세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21855,70세만기,70,S,월납(20년납),만15세~49세,만15세~49세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21857,70세만기,70,S,월납(20년납),만15세~49세,만15세~49세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21851,70세만기,70,S,월납(30년납),만15세~40세,만15세~40세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21855,70세만기,70,S,월납(30년납),만15세~40세,만15세~40세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21857,70세만기,70,S,월납(30년납),만15세~40세,만15세~40세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21851,75세만기,75,S,월납(10년납),만15세~69세,만15세~69세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21855,75세만기,75,S,월납(10년납),만15세~69세,만15세~69세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21857,75세만기,75,S,월납(10년납),만15세~69세,만15세~69세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21851,75세만기,75,S,월납(15년납),만15세~64세,만15세~64세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21855,75세만기,75,S,월납(15년납),만15세~64세,만15세~64세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21857,75세만기,75,S,월납(15년납),만15세~64세,만15세~64세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21851,75세만기,75,S,월납(20년납),만15세~54세,만15세~54세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21855,75세만기,75,S,월납(20년납),만15세~54세,만15세~54세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21857,75세만기,75,S,월납(20년납),만15세~54세,만15세~54세,MAIN,UW19771#v6
21853,(무)흥국생명 다(多)사랑통합보험V2(기본형)(갱신형),주계약,최초계약,21851,75세만기,75,S,월납(30년납),만15세~45세,만15세~45세,MAIN,UW19771#v6
