CODE,PRODUCT_NAME,PRODUCT_GROUP,TYPE_LABEL,MAIN_CODE,PERIOD_LABEL,PERIOD_VALUE,PERIOD_KIND,PAY_TERM,ENTRY_AGE_M,ENTRY_AGE_F,CLASS_TAG,SRC_FILE
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,90세만기,90,S,월납(4년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,90세만기,90,S,월납(5년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,90세만기,90,S,월납(10년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,90세만기,90,S,월납(20년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,100세만기,100,S,월납(4년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,100세만기,100,S,월납(5년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,100세만기,100,S,월납(10년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,100세만기,100,S,월납(20년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,110세만기,110,S,월납(4년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,110세만기,110,S,월납(5년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
21751,(무)흥국생명 안심케어보험2504(해약환급금 일부지급형),주계약,최초계약,21751,110세만기,110,S,월납(10년납),만15세 ~ 70세,만15세 ~ 70세,MAIN,UW21121
